audit_scope,symbol,tp_r,entry_ts_utc,exit_ts_utc,entry_price,stop_init,risk,baseline_r,managed_r,delta_r,managed_reason,hold_5m_bars
first_25_by_entry,XRPUSDT_PER_PAXGUSDT,10.0,2025-08-18T08:00:00+00:00,2025-08-18T09:05:00+00:00,0.0008862978820164,0.0008829765283206,3.3213536958185417e-06,-1.0800545166085973,-1.0800545166085973,0.0,SL,14
first_25_by_entry,XRPUSDT_PER_PAXGUSDT,10.0,2025-08-19T20:00:00+00:00,2025-08-19T20:20:00+00:00,0.000867774082368,0.0008658844542061,1.8896281618898357e-06,-1.1377690224779775,0.8622309775220225,2.0,BE,5
first_25_by_entry,XRPUSDT_PER_PAXGUSDT,10.0,2025-08-20T08:00:00+00:00,2025-08-20T11:30:00+00:00,0.0008642582100308,0.0008598156804483,4.4425295824890906e-06,-1.058362574338556,0.941637425661444,2.0,BE,43
first_25_by_entry,XRPUSDT_PER_PAXGUSDT,10.0,2025-08-22T00:00:00+00:00,2025-08-22T00:45:00+00:00,0.0008560890928531,0.0008531238362944,2.965256558708695e-06,-1.0866119753117671,0.9133880246882328,2.0,BE,10
first_25_by_entry,XRPUSDT_PER_PAXGUSDT,10.0,2025-08-22T12:00:00+00:00,2025-08-22T12:00:00+00:00,0.0008439555147556,0.000843473942422,4.815723336693738e-07,-1.525750000000062,-1.525750000000062,0.0,SL,1
first_25_by_entry,XRPUSDT_PER_PAXGUSDT,10.0,2025-08-29T16:00:00+00:00,2025-08-29T16:05:00+00:00,0.000821347496963,0.0008175925280546,3.75496890842725e-06,-1.065620849359343,-1.065620849359343,0.0,SL,2
first_25_by_entry,XRPUSDT_PER_PAXGUSDT,10.0,2025-08-31T08:00:00+00:00,2025-08-31T23:45:00+00:00,0.0008169261481659,0.0008010457591865,1.588038897940686e-05,-1.0154327356066393,-1.0154327356066393,0.0,SL,190
first_25_by_entry,XRPUSDT_PER_PAXGUSDT,10.0,2025-09-04T20:00:00+00:00,2025-09-04T20:00:00+00:00,0.000782759105611,0.0007822546861337,5.044194772577462e-07,9.534459428569376,3.5344594285693764,-5.999999999999999,BE,1
first_25_by_entry,XRPUSDT_PER_PAXGUSDT,10.0,2025-09-06T20:00:00+00:00,2025-09-06T20:00:00+00:00,0.0007713446125463,0.0007708238984679,5.207140783673476e-07,9.555603749970723,0.555603749970726,-8.999999999999996,BE,1
first_25_by_entry,XRPUSDT_PER_PAXGUSDT,10.0,2025-09-22T04:00:00+00:00,2025-09-22T05:20:00+00:00,0.0007855209742895,0.0007785287236807,6.9922506087902745e-06,-1.0337024951580855,-1.0337024951580855,0.0,SL,17
first_25_be_exits,XRPUSDT_PER_PAXGUSDT,10.0,2025-04-09T04:00:00+00:00,2025-04-09T04:00:00+00:00,0.0005789594042375,0.0005723589433781,6.600460859360275e-06,-1.0263144990890982,0.9736855009109016,1.9999999999999998,BE,1
first_25_be_exits,XRPUSDT_PER_PAXGUSDT,10.0,2025-04-09T12:00:00+00:00,2025-04-09T12:55:00+00:00,0.000577973345275,0.0005707727818658,7.200563409265489e-06,9.975919661597674,0.975919661597674,-9.0,BE,12
first_25_be_exits,XRPUSDT_PER_PAXGUSDT,10.0,2025-06-06T00:00:00+00:00,2025-06-06T06:20:00+00:00,0.0006190398698128,0.0006104868469451,8.553022867663395e-06,-1.0217130205095069,0.9782869794904931,2.0,BE,77
first_25_be_exits,XRPUSDT_PER_PAXGUSDT,10.0,2025-06-13T04:00:00+00:00,2025-06-17T16:50:00+00:00,0.0006160231570642,0.000598677400805,1.734575625923643e-05,-1.0106543032403608,0.9893456967596392,2.0,BE,1307
first_25_be_exits,XRPUSDT_PER_PAXGUSDT,10.0,2025-07-11T00:00:00+00:00,2025-07-11T00:35:00+00:00,0.0007663116586867,0.000772741504299,6.429845612267995e-06,-1.0357541240441912,0.9642458759558088,2.0,BE,8
first_25_be_exits,XRPUSDT_PER_PAXGUSDT,10.0,2025-07-17T08:00:00+00:00,2025-07-17T08:00:00+00:00,0.0009470517304473,0.0009500374644088,2.9857339614568776e-06,-1.0951576807585273,0.9048423192414728,2.0,BE,1
first_25_be_exits,XRPUSDT_PER_PAXGUSDT,10.0,2025-08-19T20:00:00+00:00,2025-08-19T20:20:00+00:00,0.000867774082368,0.0008658844542061,1.8896281618898357e-06,-1.1377690224779775,0.8622309775220225,2.0,BE,5
first_25_be_exits,XRPUSDT_PER_PAXGUSDT,10.0,2025-08-20T08:00:00+00:00,2025-08-20T11:30:00+00:00,0.0008642582100308,0.0008598156804483,4.4425295824890906e-06,-1.058362574338556,0.941637425661444,2.0,BE,43
first_25_be_exits,XRPUSDT_PER_PAXGUSDT,10.0,2025-08-22T00:00:00+00:00,2025-08-22T00:45:00+00:00,0.0008560890928531,0.0008531238362944,2.965256558708695e-06,-1.0866119753117671,0.9133880246882328,2.0,BE,10
first_25_be_exits,XRPUSDT_PER_PAXGUSDT,10.0,2025-09-04T20:00:00+00:00,2025-09-04T20:00:00+00:00,0.000782759105611,0.0007822546861337,5.044194772577462e-07,9.534459428569376,3.5344594285693764,-5.999999999999999,BE,1
first_25_be_exits,XRPUSDT_PER_PAXGUSDT,10.0,2025-09-06T20:00:00+00:00,2025-09-06T20:00:00+00:00,0.0007713446125463,0.0007708238984679,5.207140783673476e-07,9.555603749970723,0.555603749970726,-8.999999999999996,BE,1
first_25_be_exits,XRPUSDT_PER_PAXGUSDT,10.0,2025-09-25T12:00:00+00:00,2025-09-25T12:00:00+00:00,0.000748314152609,0.0007472786661803,1.0354864286854504e-06,-1.2168007610372236,0.7831992389627763,2.0,BE,1
first_25_be_exits,XRPUSDT_PER_PAXGUSDT,10.0,2025-11-03T16:00:00+00:00,2025-11-03T17:25:00+00:00,0.0005815348321121,0.0005713957776596,1.0139054452445854e-05,-1.0172067770670223,0.9827932229329776,2.0,BE,18
first_25_be_exits,XRPUSDT_PER_PAXGUSDT,10.0,2025-11-20T20:00:00+00:00,2025-11-20T23:05:00+00:00,0.0004917719284481,0.0004858785402005,5.893388247592691e-06,-1.0250334056295554,0.9749665943704446,2.0,BE,38
first_25_be_exits,XRPUSDT_PER_PAXGUSDT,10.0,2025-12-12T16:00:00+00:00,2025-12-12T16:10:00+00:00,0.0004596322105268,0.0004559885898491,3.6436206776650857e-06,-1.0378441323498044,0.9621558676501956,2.0,BE,3
first_25_be_exits,XRPUSDT_PER_PAXGUSDT,10.0,2025-12-18T20:00:00+00:00,2025-12-18T20:00:00+00:00,0.0004164446259219,0.000414491891979,1.9527339428162963e-06,-1.0639787044395754,0.9360212955604248,2.0,BE,1
first_25_be_exits,XRPUSDT_PER_PAXGUSDT,10.0,2025-12-25T12:00:00+00:00,2025-12-25T15:25:00+00:00,0.0004132847238132,0.0004110747026332,2.2100211800517387e-06,-1.0561014610462118,0.9438985389537882,2.0,BE,42
first_25_be_exits,XRPUSDT_PER_PAXGUSDT,10.0,2025-12-26T16:00:00+00:00,2025-12-26T16:50:00+00:00,0.0004021342651585,0.0004005524559556,1.5818092029350843e-06,9.923732723691502,0.9237327236915024,-9.0,BE,11
first_25_be_exits,XRPUSDT_PER_PAXGUSDT,10.0,2026-02-07T12:00:00+00:00,2026-02-07T12:05:00+00:00,0.0002812423575446,0.0002796449030507,1.5974544938502071e-06,-1.0528169707420167,0.9471830292579831,2.0,BE,2
first_25_by_entry,XRPUSDT_PER_PAXGUSDT,12.0,2025-04-01T20:00:00+00:00,2025-04-02T22:05:00+00:00,0.0006820742102357,0.0006537925353272,2.8281674908448256e-05,-1.007235153636873,-1.007235153636873,0.0,SL,314
first_25_by_entry,XRPUSDT_PER_PAXGUSDT,12.0,2025-04-03T00:00:00+00:00,2025-04-03T00:00:00+00:00,0.000633879027224,0.0006294168068827,4.462220341292194e-06,-1.0426163868259688,-1.0426163868259688,0.0,SL,1
first_25_by_entry,XRPUSDT_PER_PAXGUSDT,12.0,2025-04-07T00:00:00+00:00,2025-04-07T03:05:00+00:00,0.0006395811615971,0.0006175907523963,2.199040920081337e-05,-1.0087253650774288,-1.0087253650774288,0.0,SL,38
first_25_by_entry,XRPUSDT_PER_PAXGUSDT,12.0,2025-04-09T04:00:00+00:00,2025-04-09T04:00:00+00:00,0.0005789594042375,0.0005723589433781,6.600460859360275e-06,-1.0263144990890982,0.9736855009109016,1.9999999999999998,BE,1
first_25_by_entry,XRPUSDT_PER_PAXGUSDT,12.0,2025-04-09T12:00:00+00:00,2025-04-09T12:55:00+00:00,0.000577973345275,0.0005707727818658,7.200563409265489e-06,11.975919661597674,0.975919661597674,-11.0,BE,12
first_25_by_entry,XRPUSDT_PER_PAXGUSDT,12.0,2025-05-06T04:00:00+00:00,2025-05-06T08:15:00+00:00,0.000628362358792,0.0006160377052992,1.23246534927679e-05,-1.0152952541625802,-1.0152952541625802,0.0,SL,52
first_25_by_entry,XRPUSDT_PER_PAXGUSDT,12.0,2025-05-31T00:00:00+00:00,2025-05-31T00:00:00+00:00,0.0006477184607182,0.0006441309152562,3.5875454619770097e-06,-1.0541639235725246,-1.0541639235725246,0.0,SL,1
first_25_by_entry,XRPUSDT_PER_PAXGUSDT,12.0,2025-06-02T08:00:00+00:00,2025-06-02T08:00:00+00:00,0.0006432306694667,0.0006425062227845,7.244466821708677e-07,-1.266367705987392,-1.266367705987392,0.0,SL,1
first_25_by_entry,XRPUSDT_PER_PAXGUSDT,12.0,2025-06-06T00:00:00+00:00,2025-06-06T06:20:00+00:00,0.0006190398698128,0.0006104868469451,8.553022867663395e-06,-1.0217130205095069,0.9782869794904931,2.0,BE,77
first_25_by_entry,XRPUSDT_PER_PAXGUSDT,12.0,2025-06-13T04:00:00+00:00,2025-06-17T16:50:00+00:00,0.0006160231570642,0.000598677400805,1.734575625923643e-05,-1.0106543032403608,0.9893456967596392,2.0,BE,1307
first_25_by_entry,XRPUSDT_PER_PAXGUSDT,12.0,2025-06-22T00:00:00+00:00,2025-06-22T13:15:00+00:00,0.0006074738820701,0.000583385523712,2.4088358358033695e-05,-1.0075655701360924,-1.0075655701360924,0.0,SL,160
first_25_by_entry,XRPUSDT_PER_PAXGUSDT,12.0,2025-07-11T00:00:00+00:00,2025-07-11T00:35:00+00:00,0.0007663116586867,0.000772741504299,6.429845612267995e-06,-1.0357541240441912,0.9642458759558088,2.0,BE,8
first_25_by_entry,XRPUSDT_PER_PAXGUSDT,12.0,2025-07-14T04:00:00+00:00,2025-07-14T05:25:00+00:00,0.0008742039928792,0.0008805283169901,6.324324110948301e-06,-1.0414686523433805,-1.0414686523433805,0.0,SL,18
first_25_by_entry,XRPUSDT_PER_PAXGUSDT,12.0,2025-07-17T08:00:00+00:00,2025-07-17T08:00:00+00:00,0.0009470517304473,0.0009500374644088,2.9857339614568776e-06,-1.0951576807585273,0.9048423192414728,2.0,BE,1
first_25_by_entry,XRPUSDT_PER_PAXGUSDT,12.0,2025-08-02T00:00:00+00:00,2025-08-02T14:30:00+00:00,0.0008797158947384,0.0008611631209051,1.8552773833247394e-05,-1.014225084119151,-1.014225084119151,0.0,SL,175
first_25_by_entry,XRPUSDT_PER_PAXGUSDT,12.0,2025-08-18T08:00:00+00:00,2025-08-18T09:05:00+00:00,0.0008862978820164,0.0008829765283206,3.3213536958185417e-06,-1.0800545166085973,-1.0800545166085973,0.0,SL,14
first_25_by_entry,XRPUSDT_PER_PAXGUSDT,12.0,2025-08-19T20:00:00+00:00,2025-08-19T20:20:00+00:00,0.000867774082368,0.0008658844542061,1.8896281618898357e-06,-1.1377690224779775,0.8622309775220225,2.0,BE,5
first_25_by_entry,XRPUSDT_PER_PAXGUSDT,12.0,2025-08-20T08:00:00+00:00,2025-08-20T11:30:00+00:00,0.0008642582100308,0.0008598156804483,4.4425295824890906e-06,-1.058362574338556,0.941637425661444,2.0,BE,43
first_25_by_entry,XRPUSDT_PER_PAXGUSDT,12.0,2025-08-22T00:00:00+00:00,2025-08-22T00:45:00+00:00,0.0008560890928531,0.0008531238362944,2.965256558708695e-06,-1.0866119753117671,0.9133880246882328,2.0,BE,10
first_25_by_entry,XRPUSDT_PER_PAXGUSDT,12.0,2025-08-22T12:00:00+00:00,2025-08-22T12:00:00+00:00,0.0008439555147556,0.000843473942422,4.815723336693738e-07,-1.525750000000062,-1.525750000000062,0.0,SL,1
first_25_by_entry,XRPUSDT_PER_PAXGUSDT,12.0,2025-08-29T16:00:00+00:00,2025-08-29T16:05:00+00:00,0.000821347496963,0.0008175925280546,3.75496890842725e-06,-1.065620849359343,-1.065620849359343,0.0,SL,2
first_25_by_entry,XRPUSDT_PER_PAXGUSDT,12.0,2025-08-31T08:00:00+00:00,2025-08-31T23:45:00+00:00,0.0008169261481659,0.0008010457591865,1.588038897940686e-05,-1.0154327356066393,-1.0154327356066393,0.0,SL,190
first_25_by_entry,XRPUSDT_PER_PAXGUSDT,12.0,2025-09-04T20:00:00+00:00,2025-09-04T20:00:00+00:00,0.000782759105611,0.0007822546861337,5.044194772577462e-07,11.534459428569376,3.5344594285693764,-7.999999999999999,BE,1
first_25_by_entry,XRPUSDT_PER_PAXGUSDT,12.0,2025-09-06T20:00:00+00:00,2025-09-06T20:00:00+00:00,0.0007713446125463,0.0007708238984679,5.207140783673476e-07,11.555603749970723,0.555603749970726,-10.999999999999996,BE,1
first_25_by_entry,XRPUSDT_PER_PAXGUSDT,12.0,2025-09-22T04:00:00+00:00,2025-09-22T05:20:00+00:00,0.0007855209742895,0.0007785287236807,6.9922506087902745e-06,-1.0337024951580855,-1.0337024951580855,0.0,SL,17
first_25_be_exits,XRPUSDT_PER_PAXGUSDT,12.0,2025-04-09T04:00:00+00:00,2025-04-09T04:00:00+00:00,0.0005789594042375,0.0005723589433781,6.600460859360275e-06,-1.0263144990890982,0.9736855009109016,1.9999999999999998,BE,1
first_25_be_exits,XRPUSDT_PER_PAXGUSDT,12.0,2025-04-09T12:00:00+00:00,2025-04-09T12:55:00+00:00,0.000577973345275,0.0005707727818658,7.200563409265489e-06,11.975919661597674,0.975919661597674,-11.0,BE,12
first_25_be_exits,XRPUSDT_PER_PAXGUSDT,12.0,2025-06-06T00:00:00+00:00,2025-06-06T06:20:00+00:00,0.0006190398698128,0.0006104868469451,8.553022867663395e-06,-1.0217130205095069,0.9782869794904931,2.0,BE,77
first_25_be_exits,XRPUSDT_PER_PAXGUSDT,12.0,2025-06-13T04:00:00+00:00,2025-06-17T16:50:00+00:00,0.0006160231570642,0.000598677400805,1.734575625923643e-05,-1.0106543032403608,0.9893456967596392,2.0,BE,1307
first_25_be_exits,XRPUSDT_PER_PAXGUSDT,12.0,2025-07-11T00:00:00+00:00,2025-07-11T00:35:00+00:00,0.0007663116586867,0.000772741504299,6.429845612267995e-06,-1.0357541240441912,0.9642458759558088,2.0,BE,8
first_25_be_exits,XRPUSDT_PER_PAXGUSDT,12.0,2025-07-17T08:00:00+00:00,2025-07-17T08:00:00+00:00,0.0009470517304473,0.0009500374644088,2.9857339614568776e-06,-1.0951576807585273,0.9048423192414728,2.0,BE,1
first_25_be_exits,XRPUSDT_PER_PAXGUSDT,12.0,2025-08-19T20:00:00+00:00,2025-08-19T20:20:00+00:00,0.000867774082368,0.0008658844542061,1.8896281618898357e-06,-1.1377690224779775,0.8622309775220225,2.0,BE,5
first_25_be_exits,XRPUSDT_PER_PAXGUSDT,12.0,2025-08-20T08:00:00+00:00,2025-08-20T11:30:00+00:00,0.0008642582100308,0.0008598156804483,4.4425295824890906e-06,-1.058362574338556,0.941637425661444,2.0,BE,43
first_25_be_exits,XRPUSDT_PER_PAXGUSDT,12.0,2025-08-22T00:00:00+00:00,2025-08-22T00:45:00+00:00,0.0008560890928531,0.0008531238362944,2.965256558708695e-06,-1.0866119753117671,0.9133880246882328,2.0,BE,10
first_25_be_exits,XRPUSDT_PER_PAXGUSDT,12.0,2025-09-04T20:00:00+00:00,2025-09-04T20:00:00+00:00,0.000782759105611,0.0007822546861337,5.044194772577462e-07,11.534459428569376,3.5344594285693764,-7.999999999999999,BE,1
first_25_be_exits,XRPUSDT_PER_PAXGUSDT,12.0,2025-09-06T20:00:00+00:00,2025-09-06T20:00:00+00:00,0.0007713446125463,0.0007708238984679,5.207140783673476e-07,11.555603749970723,0.555603749970726,-10.999999999999996,BE,1
first_25_be_exits,XRPUSDT_PER_PAXGUSDT,12.0,2025-09-25T12:00:00+00:00,2025-09-25T12:00:00+00:00,0.000748314152609,0.0007472786661803,1.0354864286854504e-06,-1.2168007610372236,0.7831992389627763,2.0,BE,1
first_25_be_exits,XRPUSDT_PER_PAXGUSDT,12.0,2025-11-03T16:00:00+00:00,2025-11-03T17:25:00+00:00,0.0005815348321121,0.0005713957776596,1.0139054452445854e-05,-1.0172067770670223,0.9827932229329776,2.0,BE,18
first_25_be_exits,XRPUSDT_PER_PAXGUSDT,12.0,2025-11-20T20:00:00+00:00,2025-11-20T23:05:00+00:00,0.0004917719284481,0.0004858785402005,5.893388247592691e-06,-1.0250334056295554,0.9749665943704446,2.0,BE,38
first_25_be_exits,XRPUSDT_PER_PAXGUSDT,12.0,2025-12-12T16:00:00+00:00,2025-12-12T16:10:00+00:00,0.0004596322105268,0.0004559885898491,3.6436206776650857e-06,-1.0378441323498044,0.9621558676501956,2.0,BE,3
first_25_be_exits,XRPUSDT_PER_PAXGUSDT,12.0,2025-12-18T20:00:00+00:00,2025-12-18T20:00:00+00:00,0.0004164446259219,0.000414491891979,1.9527339428162963e-06,-1.0639787044395754,0.9360212955604248,2.0,BE,1
first_25_be_exits,XRPUSDT_PER_PAXGUSDT,12.0,2025-12-25T12:00:00+00:00,2025-12-25T15:25:00+00:00,0.0004132847238132,0.0004110747026332,2.2100211800517387e-06,-1.0561014610462118,0.9438985389537882,2.0,BE,42
first_25_be_exits,XRPUSDT_PER_PAXGUSDT,12.0,2025-12-26T16:00:00+00:00,2025-12-26T16:50:00+00:00,0.0004021342651585,0.0004005524559556,1.5818092029350843e-06,11.923732723691502,0.9237327236915024,-11.0,BE,11
first_25_be_exits,XRPUSDT_PER_PAXGUSDT,12.0,2026-02-07T12:00:00+00:00,2026-02-07T12:05:00+00:00,0.0002812423575446,0.0002796449030507,1.5974544938502071e-06,-1.0528169707420167,0.9471830292579831,2.0,BE,2
first_25_by_entry,XRPUSDT_PER_PAXGUSDT,14.0,2025-04-01T20:00:00+00:00,2025-04-02T22:05:00+00:00,0.0006820742102357,0.0006537925353272,2.8281674908448256e-05,-1.007235153636873,-1.007235153636873,0.0,SL,314
first_25_by_entry,XRPUSDT_PER_PAXGUSDT,14.0,2025-04-03T00:00:00+00:00,2025-04-03T00:00:00+00:00,0.000633879027224,0.0006294168068827,4.462220341292194e-06,-1.0426163868259688,-1.0426163868259688,0.0,SL,1
first_25_by_entry,XRPUSDT_PER_PAXGUSDT,14.0,2025-04-07T00:00:00+00:00,2025-04-07T03:05:00+00:00,0.0006395811615971,0.0006175907523963,2.199040920081337e-05,-1.0087253650774288,-1.0087253650774288,0.0,SL,38
first_25_by_entry,XRPUSDT_PER_PAXGUSDT,14.0,2025-04-09T04:00:00+00:00,2025-04-09T04:00:00+00:00,0.0005789594042375,0.0005723589433781,6.600460859360275e-06,-1.0263144990890982,0.9736855009109016,1.9999999999999998,BE,1
first_25_by_entry,XRPUSDT_PER_PAXGUSDT,14.0,2025-04-09T12:00:00+00:00,2025-04-09T12:55:00+00:00,0.000577973345275,0.0005707727818658,7.200563409265489e-06,13.975919661597674,0.975919661597674,-13.0,BE,12
first_25_by_entry,XRPUSDT_PER_PAXGUSDT,14.0,2025-05-06T04:00:00+00:00,2025-05-06T08:15:00+00:00,0.000628362358792,0.0006160377052992,1.23246534927679e-05,-1.0152952541625802,-1.0152952541625802,0.0,SL,52
first_25_by_entry,XRPUSDT_PER_PAXGUSDT,14.0,2025-05-31T00:00:00+00:00,2025-05-31T00:00:00+00:00,0.0006477184607182,0.0006441309152562,3.5875454619770097e-06,-1.0541639235725246,-1.0541639235725246,0.0,SL,1
first_25_by_entry,XRPUSDT_PER_PAXGUSDT,14.0,2025-06-02T08:00:00+00:00,2025-06-02T08:00:00+00:00,0.0006432306694667,0.0006425062227845,7.244466821708677e-07,-1.266367705987392,-1.266367705987392,0.0,SL,1
first_25_by_entry,XRPUSDT_PER_PAXGUSDT,14.0,2025-06-06T00:00:00+00:00,2025-06-06T06:20:00+00:00,0.0006190398698128,0.0006104868469451,8.553022867663395e-06,-1.0217130205095069,0.9782869794904931,2.0,BE,77
first_25_by_entry,XRPUSDT_PER_PAXGUSDT,14.0,2025-06-13T04:00:00+00:00,2025-06-17T16:50:00+00:00,0.0006160231570642,0.000598677400805,1.734575625923643e-05,-1.0106543032403608,0.9893456967596392,2.0,BE,1307
first_25_by_entry,XRPUSDT_PER_PAXGUSDT,14.0,2025-06-22T00:00:00+00:00,2025-06-22T13:15:00+00:00,0.0006074738820701,0.000583385523712,2.4088358358033695e-05,-1.0075655701360924,-1.0075655701360924,0.0,SL,160
first_25_by_entry,XRPUSDT_PER_PAXGUSDT,14.0,2025-07-11T00:00:00+00:00,2025-07-11T00:35:00+00:00,0.0007663116586867,0.000772741504299,6.429845612267995e-06,-1.0357541240441912,0.9642458759558088,2.0,BE,8
first_25_by_entry,XRPUSDT_PER_PAXGUSDT,14.0,2025-07-14T04:00:00+00:00,2025-07-14T05:25:00+00:00,0.0008742039928792,0.0008805283169901,6.324324110948301e-06,-1.0414686523433805,-1.0414686523433805,0.0,SL,18
first_25_by_entry,XRPUSDT_PER_PAXGUSDT,14.0,2025-07-17T08:00:00+00:00,2025-07-17T08:00:00+00:00,0.0009470517304473,0.0009500374644088,2.9857339614568776e-06,-1.0951576807585273,0.9048423192414728,2.0,BE,1
first_25_by_entry,XRPUSDT_PER_PAXGUSDT,14.0,2025-08-02T00:00:00+00:00,2025-08-02T14:30:00+00:00,0.0008797158947384,0.0008611631209051,1.8552773833247394e-05,-1.014225084119151,-1.014225084119151,0.0,SL,175
first_25_by_entry,XRPUSDT_PER_PAXGUSDT,14.0,2025-08-18T08:00:00+00:00,2025-08-18T09:05:00+00:00,0.0008862978820164,0.0008829765283206,3.3213536958185417e-06,-1.0800545166085973,-1.0800545166085973,0.0,SL,14
first_25_by_entry,XRPUSDT_PER_PAXGUSDT,14.0,2025-08-19T20:00:00+00:00,2025-08-19T20:20:00+00:00,0.000867774082368,0.0008658844542061,1.8896281618898357e-06,-1.1377690224779775,0.8622309775220225,2.0,BE,5
first_25_by_entry,XRPUSDT_PER_PAXGUSDT,14.0,2025-08-20T08:00:00+00:00,2025-08-20T11:30:00+00:00,0.0008642582100308,0.0008598156804483,4.4425295824890906e-06,-1.058362574338556,0.941637425661444,2.0,BE,43
first_25_by_entry,XRPUSDT_PER_PAXGUSDT,14.0,2025-08-22T00:00:00+00:00,2025-08-22T00:45:00+00:00,0.0008560890928531,0.0008531238362944,2.965256558708695e-06,-1.0866119753117671,0.9133880246882328,2.0,BE,10
first_25_by_entry,XRPUSDT_PER_PAXGUSDT,14.0,2025-08-22T12:00:00+00:00,2025-08-22T12:00:00+00:00,0.0008439555147556,0.000843473942422,4.815723336693738e-07,-1.525750000000062,-1.525750000000062,0.0,SL,1
first_25_by_entry,XRPUSDT_PER_PAXGUSDT,14.0,2025-08-29T16:00:00+00:00,2025-08-29T16:05:00+00:00,0.000821347496963,0.0008175925280546,3.75496890842725e-06,-1.065620849359343,-1.065620849359343,0.0,SL,2
first_25_by_entry,XRPUSDT_PER_PAXGUSDT,14.0,2025-08-31T08:00:00+00:00,2025-08-31T23:45:00+00:00,0.0008169261481659,0.0008010457591865,1.588038897940686e-05,-1.0154327356066393,-1.0154327356066393,0.0,SL,190
first_25_by_entry,XRPUSDT_PER_PAXGUSDT,14.0,2025-09-04T20:00:00+00:00,2025-09-04T20:00:00+00:00,0.000782759105611,0.0007822546861337,5.044194772577462e-07,13.534459428569376,3.5344594285693764,-10.0,BE,1
first_25_by_entry,XRPUSDT_PER_PAXGUSDT,14.0,2025-09-06T20:00:00+00:00,2025-09-06T20:00:00+00:00,0.0007713446125463,0.0007708238984679,5.207140783673476e-07,13.555603749970723,0.555603749970726,-12.999999999999996,BE,1
first_25_by_entry,XRPUSDT_PER_PAXGUSDT,14.0,2025-09-22T04:00:00+00:00,2025-09-22T05:20:00+00:00,0.0007855209742895,0.0007785287236807,6.9922506087902745e-06,-1.0337024951580855,-1.0337024951580855,0.0,SL,17
first_25_be_exits,XRPUSDT_PER_PAXGUSDT,14.0,2025-04-09T04:00:00+00:00,2025-04-09T04:00:00+00:00,0.0005789594042375,0.0005723589433781,6.600460859360275e-06,-1.0263144990890982,0.9736855009109016,1.9999999999999998,BE,1
first_25_be_exits,XRPUSDT_PER_PAXGUSDT,14.0,2025-04-09T12:00:00+00:00,2025-04-09T12:55:00+00:00,0.000577973345275,0.0005707727818658,7.200563409265489e-06,13.975919661597674,0.975919661597674,-13.0,BE,12
first_25_be_exits,XRPUSDT_PER_PAXGUSDT,14.0,2025-06-06T00:00:00+00:00,2025-06-06T06:20:00+00:00,0.0006190398698128,0.0006104868469451,8.553022867663395e-06,-1.0217130205095069,0.9782869794904931,2.0,BE,77
first_25_be_exits,XRPUSDT_PER_PAXGUSDT,14.0,2025-06-13T04:00:00+00:00,2025-06-17T16:50:00+00:00,0.0006160231570642,0.000598677400805,1.734575625923643e-05,-1.0106543032403608,0.9893456967596392,2.0,BE,1307
first_25_be_exits,XRPUSDT_PER_PAXGUSDT,14.0,2025-07-11T00:00:00+00:00,2025-07-11T00:35:00+00:00,0.0007663116586867,0.000772741504299,6.429845612267995e-06,-1.0357541240441912,0.9642458759558088,2.0,BE,8
first_25_be_exits,XRPUSDT_PER_PAXGUSDT,14.0,2025-07-17T08:00:00+00:00,2025-07-17T08:00:00+00:00,0.0009470517304473,0.0009500374644088,2.9857339614568776e-06,-1.0951576807585273,0.9048423192414728,2.0,BE,1
first_25_be_exits,XRPUSDT_PER_PAXGUSDT,14.0,2025-08-19T20:00:00+00:00,2025-08-19T20:20:00+00:00,0.000867774082368,0.0008658844542061,1.8896281618898357e-06,-1.1377690224779775,0.8622309775220225,2.0,BE,5
first_25_be_exits,XRPUSDT_PER_PAXGUSDT,14.0,2025-08-20T08:00:00+00:00,2025-08-20T11:30:00+00:00,0.0008642582100308,0.0008598156804483,4.4425295824890906e-06,-1.058362574338556,0.941637425661444,2.0,BE,43
first_25_be_exits,XRPUSDT_PER_PAXGUSDT,14.0,2025-08-22T00:00:00+00:00,2025-08-22T00:45:00+00:00,0.0008560890928531,0.0008531238362944,2.965256558708695e-06,-1.0866119753117671,0.9133880246882328,2.0,BE,10
first_25_be_exits,XRPUSDT_PER_PAXGUSDT,14.0,2025-09-04T20:00:00+00:00,2025-09-04T20:00:00+00:00,0.000782759105611,0.0007822546861337,5.044194772577462e-07,13.534459428569376,3.5344594285693764,-10.0,BE,1
first_25_be_exits,XRPUSDT_PER_PAXGUSDT,14.0,2025-09-06T20:00:00+00:00,2025-09-06T20:00:00+00:00,0.0007713446125463,0.0007708238984679,5.207140783673476e-07,13.555603749970723,0.555603749970726,-12.999999999999996,BE,1
first_25_be_exits,XRPUSDT_PER_PAXGUSDT,14.0,2025-09-25T12:00:00+00:00,2025-09-25T12:00:00+00:00,0.000748314152609,0.0007472786661803,1.0354864286854504e-06,-1.2168007610372236,0.7831992389627763,2.0,BE,1
first_25_be_exits,XRPUSDT_PER_PAXGUSDT,14.0,2025-11-03T16:00:00+00:00,2025-11-03T17:25:00+00:00,0.0005815348321121,0.0005713957776596,1.0139054452445854e-05,-1.0172067770670223,0.9827932229329776,2.0,BE,18
